clip_id,bin_index,start_ms,end_ms,file_path,light_asd_score,mouth_motion,face_track_count
-l9m0nDJZfM_s0000758850_e0000763850,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-l9m0nDJZfM_s0000758850_e0000763850.mp4,-0.19734394550323486,3.6570458404074704,1
-l9m0nDJZfM_s0000758850_e0000763850,12,2400,2600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-l9m0nDJZfM_s0000758850_e0000763850.mp4,0.4165199398994446,3.693548387096774,1
-l9m0nDJZfM_s0000758850_e0000763850,13,2600,2800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-l9m0nDJZfM_s0000758850_e0000763850.mp4,0.4819440245628357,7.2894736842105265,1
-mqfxUnzbzU_s0000315906_e0000319038,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\-mqfxUnzbzU_s0000315906_e0000319038.mp4,0.4995022416114807,3.191850594227504,1
-mqfxUnzbzU_s0000315906_e0000319038,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\-mqfxUnzbzU_s0000315906_e0000319038.mp4,0.4706631898880005,1.5666383701188455,1
-mqfxUnzbzU_s0000315906_e0000319038,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\-mqfxUnzbzU_s0000315906_e0000319038.mp4,0.4671528935432434,7.788200339558574,1
-mqfxUnzbzU_s0000315906_e0000319038,14,2800,3000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\-mqfxUnzbzU_s0000315906_e0000319038.mp4,0.09846808016300201,2.5237691001697793,1
-q9dFwf1jhk_s0000119906_e0000122142,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-q9dFwf1jhk_s0000119906_e0000122142.mp4,0.2265954613685608,5.308361629881155,2
-q9dFwf1jhk_s0000119906_e0000122142,10,2000,2200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-q9dFwf1jhk_s0000119906_e0000122142.mp4,0.11551601439714432,2.2122241086587437,2
-qsoj9cBf8Y_s0000473954_e0000476350,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,-0.34679484367370605,2.0212224108658745,1
-qsoj9cBf8Y_s0000473954_e0000476350,3,600,800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,0.44591188430786133,1.099320882852292,1
-qsoj9cBf8Y_s0000473954_e0000476350,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,0.14337438344955444,1.9248726655348047,1
-qsoj9cBf8Y_s0000473954_e0000476350,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,0.08509139716625214,2.262308998302207,1
-qsoj9cBf8Y_s0000473954_e0000476350,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,0.159423828125,1.5254668930390491,1
-qsoj9cBf8Y_s0000473954_e0000476350,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\-qsoj9cBf8Y_s0000473954_e0000476350.mp4,-0.3476933240890503,0.7419354838709677,1
0B310XCDA1c_s0000687970_e0000692606,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0B310XCDA1c_s0000687970_e0000692606.mp4,0.3632403016090393,4.717741935483871,1
0B310XCDA1c_s0000687970_e0000692606,22,4400,4600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0B310XCDA1c_s0000687970_e0000692606.mp4,-0.4719730615615845,7.98471986417657,1
0PsGwmgAI-k_1_s0000691618_e0000695582,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0PsGwmgAI-k_1_s0000691618_e0000695582.mp4,-0.221262589097023,1.8582342954159592,1
0PsGwmgAI-k_1_s0000691618_e0000695582,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0PsGwmgAI-k_1_s0000691618_e0000695582.mp4,0.08022995293140411,6.676146010186757,1
0PsGwmgAI-k_1_s0000691618_e0000695582,19,3800,4000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0PsGwmgAI-k_1_s0000691618_e0000695582.mp4,0.24032551050186157,2.0882852292020373,1
0v7Qt6dyGdY_1_s0000818306_e0000820766,11,2200,2400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier2\0_100\media\0v7Qt6dyGdY_1_s0000818306_e0000820766.mp4,-0.05775520205497742,2.3043293718166384,1
0vXH7_xKzHs_s0000290882_e0000296350,0,0,200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.10351456701755524,3.8843378607809846,1
0vXH7_xKzHs_s0000290882_e0000296350,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.30339181423187256,4.548387096774194,1
0vXH7_xKzHs_s0000290882_e0000296350,4,800,1000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.32206428050994873,3.7215619694397284,1
0vXH7_xKzHs_s0000290882_e0000296350,5,1000,1200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.13519957661628723,3.2016129032258065,1
0vXH7_xKzHs_s0000290882_e0000296350,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.29621970653533936,2.744057724957555,1
0vXH7_xKzHs_s0000290882_e0000296350,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.08419119566679001,3.1460101867572154,1
0vXH7_xKzHs_s0000290882_e0000296350,8,1600,1800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.10329151153564453,2.817062818336163,1
0vXH7_xKzHs_s0000290882_e0000296350,12,2400,2600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.09567342698574066,4.352716468590832,1
0vXH7_xKzHs_s0000290882_e0000296350,15,3000,3200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.19325250387191772,5.116298811544992,1
0vXH7_xKzHs_s0000290882_e0000296350,16,3200,3400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.11453941464424133,3.289473684210526,1
0vXH7_xKzHs_s0000290882_e0000296350,20,4000,4200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.1601085662841797,5.1905772495755516,1
0vXH7_xKzHs_s0000290882_e0000296350,21,4200,4400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.1428472399711609,7.6561969439728355,1
0vXH7_xKzHs_s0000290882_e0000296350,22,4400,4600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.2856438159942627,4.227079796264856,1
0vXH7_xKzHs_s0000290882_e0000296350,25,5000,5200,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,0.4401739239692688,6.83446519524618,1
0vXH7_xKzHs_s0000290882_e0000296350,26,5200,5400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0vXH7_xKzHs_s0000290882_e0000296350.mp4,-0.2150832712650299,5.79393039049236,1
0wOdyRpc0wc_s0000095618_e0000100618,1,200,400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.7809863686561584,4.9426994906621395,4
0wOdyRpc0wc_s0000095618_e0000100618,2,400,600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,1.0962435007095337,6.318336162988116,4
0wOdyRpc0wc_s0000095618_e0000100618,6,1200,1400,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,-0.04660395532846451,1.5683361629881154,4
0wOdyRpc0wc_s0000095618_e0000100618,7,1400,1600,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.047852180898189545,4.302631578947368,4
0wOdyRpc0wc_s0000095618_e0000100618,8,1600,1800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.27054160833358765,4.159168081494058,4
0wOdyRpc0wc_s0000095618_e0000100618,9,1800,2000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.11236188560724258,4.732173174872665,4
0wOdyRpc0wc_s0000095618_e0000100618,13,2600,2800,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.37777113914489746,5.487691001697793,4
0wOdyRpc0wc_s0000095618_e0000100618,14,2800,3000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.8480408787727356,6.288200339558574,4
0wOdyRpc0wc_s0000095618_e0000100618,24,4800,5000,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0_50\media\0wOdyRpc0wc_s0000095618_e0000100618.mp4,0.3880239278078079,10.286714770797964,4
