clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,decode_backend,cut_backend,run_id
-PMSk6LTXoQ_s0000062050_e0000071614,-PMSk6LTXoQ,62.05,71.614,9.564,0.889,1.0,3.87,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000062050_e0000071614.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000076674_e0000079134,-PMSk6LTXoQ,76.674,79.134,2.46,1.0,1.0,4.63,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000076674_e0000079134.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000091202_e0000096202,-PMSk6LTXoQ,91.202,96.202,5.0,1.0,1.0,5.34,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000091202_e0000096202.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000095202_e0000100202,-PMSk6LTXoQ,95.202,100.202,5.0,1.0,1.0,4.06,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000095202_e0000100202.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000112194_e0000114782,-PMSk6LTXoQ,112.194,114.782,2.588,1.0,1.0,3.64,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000112194_e0000114782.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000115202_e0000120202,-PMSk6LTXoQ,115.202,120.202,5.0,1.0,1.0,3.26,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000115202_e0000120202.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000119202_e0000124202,-PMSk6LTXoQ,119.202,124.202,5.0,1.0,1.0,3.26,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000119202_e0000124202.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000186818_e0000191818,-PMSk6LTXoQ,186.818,191.818,5.0,1.0,1.0,5.11,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000186818_e0000191818.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000190818_e0000195818,-PMSk6LTXoQ,190.818,195.818,5.0,1.0,1.0,4.68,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000190818_e0000195818.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000194818_e0000199818,-PMSk6LTXoQ,194.818,199.818,5.0,1.0,1.0,3.75,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000194818_e0000199818.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000202818_e0000207818,-PMSk6LTXoQ,202.818,207.818,5.0,1.0,1.0,3.78,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000202818_e0000207818.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000206818_e0000211818,-PMSk6LTXoQ,206.818,211.818,5.0,1.0,1.0,3.28,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000206818_e0000211818.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000223042_e0000228042,-PMSk6LTXoQ,223.042,228.042,5.0,1.0,1.0,3.98,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000223042_e0000228042.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000227042_e0000232042,-PMSk6LTXoQ,227.042,232.042,5.0,1.0,1.0,4.22,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000227042_e0000232042.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000231042_e0000235678,-PMSk6LTXoQ,231.042,235.678,4.636,1.0,1.0,3.69,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000231042_e0000235678.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000235842_e0000240842,-PMSk6LTXoQ,235.842,240.842,5.0,1.0,1.0,4.34,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000235842_e0000240842.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000239842_e0000244842,-PMSk6LTXoQ,239.842,244.842,5.0,1.0,1.0,3.6,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000239842_e0000244842.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000243842_e0000248842,-PMSk6LTXoQ,243.842,248.842,5.0,1.0,1.0,4.65,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000243842_e0000248842.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000247842_e0000252842,-PMSk6LTXoQ,247.842,252.842,5.0,1.0,1.0,4.55,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000247842_e0000252842.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000251842_e0000256842,-PMSk6LTXoQ,251.842,256.842,5.0,0.8,1.0,4.2,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000251842_e0000256842.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000255842_e0000259934,-PMSk6LTXoQ,255.842,259.934,4.092,1.0,1.0,4.71,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000255842_e0000259934.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000260162_e0000262558,-PMSk6LTXoQ,260.162,262.558,2.396,1.0,1.0,4.52,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000260162_e0000262558.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000262658_e0000267658,-PMSk6LTXoQ,262.658,267.658,5.0,1.0,1.0,4.64,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000262658_e0000267658.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000266658_e0000271658,-PMSk6LTXoQ,266.658,271.658,5.0,1.0,1.0,5.46,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000266658_e0000271658.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000270658_e0000275614,-PMSk6LTXoQ,270.658,275.614,4.956,1.0,1.0,3.79,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000270658_e0000275614.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000276770_e0000281770,-PMSk6LTXoQ,276.77,281.77,5.0,1.0,1.0,3.94,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000276770_e0000281770.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000280770_e0000285770,-PMSk6LTXoQ,280.77,285.77,5.0,1.0,1.0,3.61,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000280770_e0000285770.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000284770_e0000289770,-PMSk6LTXoQ,284.77,289.77,5.0,1.0,1.0,5.04,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000284770_e0000289770.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000288770_e0000292318,-PMSk6LTXoQ,288.77,292.318,3.548,1.0,1.0,5.17,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000288770_e0000292318.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000292706_e0000297706,-PMSk6LTXoQ,292.706,297.706,5.0,1.0,1.0,5.18,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000292706_e0000297706.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000296706_e0000301706,-PMSk6LTXoQ,296.706,301.706,5.0,1.0,1.0,4.28,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000296706_e0000301706.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000300706_e0000305706,-PMSk6LTXoQ,300.706,305.706,5.0,1.0,1.0,3.94,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000300706_e0000305706.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000304706_e0000309706,-PMSk6LTXoQ,304.706,309.706,5.0,1.0,1.0,4.19,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000304706_e0000309706.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000344962_e0000347806,-PMSk6LTXoQ,344.962,347.806,2.844,1.0,1.0,6.88,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000344962_e0000347806.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000354882_e0000357886,-PMSk6LTXoQ,354.882,357.886,3.004,1.0,1.0,5.44,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000354882_e0000357886.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000358050_e0000363870,-PMSk6LTXoQ,358.05,363.87,5.82,1.0,1.0,5.47,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000358050_e0000363870.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
-PMSk6LTXoQ_s0000364194_e0000366622,-PMSk6LTXoQ,364.194,366.622,2.428,1.0,1.0,5.83,/kaggle/working/cut_cutfix_full_tier1_20260729_01/tier1/0_50/media/-PMSk6LTXoQ_s0000364194_e0000366622.mp4,tier1,cuda,nvenc,cutfix_full_tier1_20260729_01
