clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path
-jDBwP6g2tA_clip0046_t00269,-jDBwP6g2tA,269.314,273.054,3.74,1.0,1.0,13.4,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0046_t00269.mp4
-jDBwP6g2tA_clip0047_t00276,-jDBwP6g2tA,276.066,281.086,5.02,1.0,1.0,16.43,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0047_t00276.mp4
-jDBwP6g2tA_clip0048_t00281,-jDBwP6g2tA,281.186,289.086,7.9,1.0,1.0,14.8,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0048_t00281.mp4
-jDBwP6g2tA_clip0049_t00291,-jDBwP6g2tA,291.298,296.298,5.0,1.0,1.0,14.82,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0049_t00291.mp4
-jDBwP6g2tA_clip0050_t00295,-jDBwP6g2tA,295.298,300.298,5.0,1.0,1.0,14.7,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0050_t00295.mp4
-jDBwP6g2tA_clip0051_t00299,-jDBwP6g2tA,299.298,304.298,5.0,1.0,1.0,15.54,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0051_t00299.mp4
-jDBwP6g2tA_clip0052_t00303,-jDBwP6g2tA,303.298,306.526,3.228,1.0,1.0,16.08,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0052_t00303.mp4
-jDBwP6g2tA_clip0053_t00306,-jDBwP6g2tA,306.722,314.046,7.324,0.875,1.0,15.72,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0053_t00306.mp4
-jDBwP6g2tA_clip0054_t00316,-jDBwP6g2tA,316.258,318.43,2.172,1.0,1.0,16.34,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0054_t00316.mp4
-jDBwP6g2tA_clip0055_t00334,-jDBwP6g2tA,334.114,337.854,3.74,1.0,1.0,13.11,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0055_t00334.mp4
-jDBwP6g2tA_clip0056_t00338,-jDBwP6g2tA,338.018,345.438,7.42,1.0,1.0,13.19,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0056_t00338.mp4
-jDBwP6g2tA_clip0057_t00345,-jDBwP6g2tA,345.602,348.926,3.324,1.0,1.0,13.49,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0057_t00345.mp4
-jDBwP6g2tA_clip0058_t00350,-jDBwP6g2tA,350.402,354.974,4.572,1.0,1.0,12.97,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0058_t00350.mp4
-jDBwP6g2tA_clip0059_t00355,-jDBwP6g2tA,355.298,357.406,2.108,1.0,1.0,12.09,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0059_t00355.mp4
-jDBwP6g2tA_clip0060_t00357,-jDBwP6g2tA,357.826,361.278,3.452,1.0,1.0,13.03,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0060_t00357.mp4
-jDBwP6g2tA_clip0061_t00361,-jDBwP6g2tA,361.41,364.35,2.94,1.0,1.0,12.73,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0061_t00361.mp4
-jDBwP6g2tA_clip0062_t00364,-jDBwP6g2tA,364.578,366.814,2.236,1.0,1.0,12.28,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0062_t00364.mp4
-jDBwP6g2tA_clip0063_t00367,-jDBwP6g2tA,367.362,370.59,3.228,1.0,1.0,13.31,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0063_t00367.mp4
-jDBwP6g2tA_clip0064_t00370,-jDBwP6g2tA,370.914,375.838,4.924,1.0,1.0,13.4,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0064_t00370.mp4
-jDBwP6g2tA_clip0065_t00379,-jDBwP6g2tA,379.234,381.31,2.076,1.0,1.0,14.57,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0065_t00379.mp4
-jDBwP6g2tA_clip0066_t00386,-jDBwP6g2tA,386.338,389.726,3.388,1.0,1.0,13.65,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0066_t00386.mp4
-jDBwP6g2tA_clip0067_t00390,-jDBwP6g2tA,390.082,393.086,3.004,1.0,1.0,13.22,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0067_t00390.mp4
-jDBwP6g2tA_clip0068_t00399,-jDBwP6g2tA,399.714,406.654,6.94,1.0,1.0,13.21,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0068_t00399.mp4
-jDBwP6g2tA_clip0069_t00406,-jDBwP6g2tA,406.946,413.15,6.204,1.0,1.0,12.74,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0069_t00406.mp4
-jDBwP6g2tA_clip0070_t00413,-jDBwP6g2tA,413.314,420.062,6.748,1.0,1.0,13.22,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0070_t00413.mp4
-jDBwP6g2tA_clip0071_t00420,-jDBwP6g2tA,420.386,422.846,2.46,1.0,1.0,13.72,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0071_t00420.mp4
-jDBwP6g2tA_clip0072_t00425,-jDBwP6g2tA,425.698,427.742,2.044,1.0,1.0,13.29,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0072_t00425.mp4
-jDBwP6g2tA_clip0073_t00429,-jDBwP6g2tA,429.058,435.614,6.556,1.0,1.0,12.15,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0073_t00429.mp4
-jDBwP6g2tA_clip0074_t00436,-jDBwP6g2tA,436.994,442.91,5.916,1.0,1.0,12.62,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0074_t00436.mp4
-jDBwP6g2tA_clip0075_t00443,-jDBwP6g2tA,443.042,448.062,5.02,1.0,1.0,13.65,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0075_t00443.mp4
-jDBwP6g2tA_clip0076_t00448,-jDBwP6g2tA,448.418,456.542,8.124,1.0,1.0,12.63,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0076_t00448.mp4
-jDBwP6g2tA_clip0077_t00458,-jDBwP6g2tA,458.434,463.55,5.116,1.0,1.0,13.55,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0077_t00458.mp4
-jDBwP6g2tA_clip0078_t00463,-jDBwP6g2tA,463.874,467.422,3.548,1.0,1.0,12.92,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0078_t00463.mp4
-jDBwP6g2tA_clip0079_t00467,-jDBwP6g2tA,467.682,469.726,2.044,1.0,1.0,13.17,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0079_t00467.mp4
-jDBwP6g2tA_clip0080_t00469,-jDBwP6g2tA,469.858,472.798,2.94,1.0,1.0,11.39,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0080_t00469.mp4
-jDBwP6g2tA_clip0081_t00472,-jDBwP6g2tA,472.962,475.902,2.94,1.0,1.0,12.4,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0081_t00472.mp4
-jDBwP6g2tA_clip0082_t00481,-jDBwP6g2tA,481.762,485.854,4.092,1.0,1.0,13.15,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0082_t00481.mp4
-jDBwP6g2tA_clip0083_t00486,-jDBwP6g2tA,486.114,495.454,9.34,1.0,1.0,12.94,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0083_t00486.mp4
-jDBwP6g2tA_clip0084_t00495,-jDBwP6g2tA,495.778,499.166,3.388,1.0,1.0,13.39,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0084_t00495.mp4
-jDBwP6g2tA_clip0085_t00499,-jDBwP6g2tA,499.458,502.782,3.324,1.0,1.0,12.77,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0085_t00499.mp4
-jDBwP6g2tA_clip0086_t00502,-jDBwP6g2tA,502.914,505.694,2.78,1.0,1.0,13.82,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0086_t00502.mp4
-jDBwP6g2tA_clip0087_t00507,-jDBwP6g2tA,507.426,511.39,3.964,1.0,1.0,10.89,/kaggle/working/clips/tier1/-jDBwP6g2tA_clip0087_t00507.mp4
0wOdyRpc0wc_clip0000_t00005,0wOdyRpc0wc,5.154,10.154,5.0,1.0,1.0,22.03,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0000_t00005.mp4
0wOdyRpc0wc_clip0001_t00024,0wOdyRpc0wc,24.866,29.822,4.956,1.0,1.0,20.88,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0001_t00024.mp4
0wOdyRpc0wc_clip0002_t00030,0wOdyRpc0wc,30.274,35.274,5.0,1.0,1.0,20.6,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0002_t00030.mp4
0wOdyRpc0wc_clip0003_t00044,0wOdyRpc0wc,44.674,50.206,5.532,1.0,1.0,21.12,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0003_t00044.mp4
0wOdyRpc0wc_clip0004_t00059,0wOdyRpc0wc,59.394,63.614,4.22,1.0,1.0,21.5,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0004_t00059.mp4
0wOdyRpc0wc_clip0005_t00064,0wOdyRpc0wc,64.482,71.198,6.716,1.0,1.0,20.86,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0005_t00064.mp4
0wOdyRpc0wc_clip0006_t00072,0wOdyRpc0wc,72.354,75.006,2.652,1.0,1.0,20.45,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0006_t00072.mp4
0wOdyRpc0wc_clip0007_t00075,0wOdyRpc0wc,75.33,78.814,3.484,1.0,1.0,17.84,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0007_t00075.mp4
0wOdyRpc0wc_clip0008_t00078,0wOdyRpc0wc,78.946,81.886,2.94,1.0,1.0,14.26,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0008_t00078.mp4
0wOdyRpc0wc_clip0009_t00091,0wOdyRpc0wc,91.618,96.618,5.0,1.0,1.0,20.76,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0009_t00091.mp4
0wOdyRpc0wc_clip0010_t00095,0wOdyRpc0wc,95.618,100.618,5.0,1.0,1.0,21.1,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0010_t00095.mp4
0wOdyRpc0wc_clip0011_t00099,0wOdyRpc0wc,99.618,104.618,5.0,1.0,1.0,20.84,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0011_t00099.mp4
0wOdyRpc0wc_clip0012_t00122,0wOdyRpc0wc,122.402,129.886,7.484,1.0,1.0,20.82,/kaggle/working/clips/tier1/0wOdyRpc0wc_clip0012_t00122.mp4
