video_id,url,title,channel,published_at,query
7643454719825874196,https://www.tiktok.com/@vtv24news/video/7643454719825874196,Một chương trình tại Australia đang giúp thanh thiếu niên tự kỷ làm q...,vtv24news,,user:vtv24news
7643454357349895444,https://www.tiktok.com/@vtv24news/video/7643454357349895444,Trung Quốc vừa công bố đội hình phi hành gia thực hiện sứ mệnh Thần C...,vtv24news,,user:vtv24news
7643454151007030549,https://www.tiktok.com/@vtv24news/video/7643454151007030549,Sứ mệnh Thần Châu-23 được xem là bước thử nghiệm quan trọng trong kế ...,vtv24news,,user:vtv24news
7643368490841279764,https://www.tiktok.com/@vtv24news/video/7643368490841279764,Lực lượng Hải quan tỉnh Bắc Ninh vừa phát hiện và tạm dừng làm thủ tụ...,vtv24news,,user:vtv24news
7643368278361984277,https://www.tiktok.com/@vtv24news/video/7643368278361984277,Một vụ nổ súng xảy ra tối 23/5 gần Nhà Trắng khi một người đàn ông ti...,vtv24news,,user:vtv24news
7643367990469119252,https://www.tiktok.com/@vtv24news/video/7643367990469119252,Lực lượng cứu hộ tỉnh Đắk Lắk vừa giải cứu thành công 2 học sinh bị r...,vtv24news,,user:vtv24news
7643367720993541397,https://www.tiktok.com/@vtv24news/video/7643367720993541397,"Công an TP. Hồ Chí Minh vừa triệt phá đường dây nhập khẩu, kinh doanh...",vtv24news,,user:vtv24news
7643366507371711764,https://www.tiktok.com/@vtv24news/video/7643366507371711764,Cả 8 học sinh Đội tuyển quốc gia Việt Nam tham dự Olympic Vật lý châu...,vtv24news,,user:vtv24news
7643363030817836309,https://www.tiktok.com/@vtv24news/video/7643363030817836309,Bắc Bộ và Trung Bộ đang bước vào đợt nắng nóng gay gắt sẽ kéo dài tới...,vtv24news,,user:vtv24news
7643298342767709460,https://www.tiktok.com/@vtv24news/video/7643298342767709460,"Các tổ chức bảo vệ người nhập cư cho rằng, quy định mới về cấp thẻ xa...",vtv24news,,user:vtv24news
7643298083635301652,https://www.tiktok.com/@vtv24news/video/7643298083635301652,Công an TP. Hồ Chí Minh vừa triệt phá đường dây mua bán trái phép chấ...,vtv24news,,user:vtv24news
7643297767900630293,https://www.tiktok.com/@vtv24news/video/7643297767900630293,"Ngành thuế đang nâng cấp hệ thống công nghệ, hướng tới cho phép người...",vtv24news,,user:vtv24news
7643314747999374613,https://www.tiktok.com/@vtv24news/video/7643314747999374613,"Từ ngày 01/7, mức đóng bảo hiểm y tế hộ gia đình sẽ tăng tương ứng kh...",vtv24news,,user:vtv24news
7643275987639127317,https://www.tiktok.com/@vtv24news/video/7643275987639127317,Hôm nay (24/5) là ngày thứ hai của đợt nắng nóng diện rộng tại miền B...,vtv24news,,user:vtv24news
7643275371487513877,https://www.tiktok.com/@vtv24news/video/7643275371487513877,Một vườn trà hơn 100 tuổi với hơn 8.000 cây vừa được phát hiện trên n...,vtv24news,,user:vtv24news
7643275178851634453,https://www.tiktok.com/@vtv24news/video/7643275178851634453,Dù phân loại rác tại nguồn đã là yêu cầu bắt buộc theo Luật Bảo vệ mô...,vtv24news,,user:vtv24news
7643274510128418069,https://www.tiktok.com/@vtv24news/video/7643274510128418069,"Công an tỉnh Lâm Đồng vừa triệt phá thành công đường dây mua bán, tổ ...",vtv24news,,user:vtv24news
7643084152119627016,https://www.tiktok.com/@vtv24news/video/7643084152119627016,"Giữa thời điểm nhu cầu sử dụng điện tăng cao, việc tiết kiệm điện có ...",vtv24news,,user:vtv24news
