video,filename,start,end,reason,detail,run_id,tier
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,398.434,404.03,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,404.226,406.654,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,406.882,411.882,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,410.882,415.882,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,414.882,419.882,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,418.882,421.662,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,423.394,429.214,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,429.538,439.422,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,440.034,446.622,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,446.882,448.478,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,448.578,452.766,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,452.898,454.878,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,455.042,456.35,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,456.61,457.534,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,458.21,463.614,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,463.906,468.926,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,469.058,470.558,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,470.946,476.83,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,477.186,485.886,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,486.05,488.734,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,488.898,492.702,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,492.802,494.91,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,495.202,497.886,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,498.05,500.67,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,500.866,504.702,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,504.866,506.942,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,507.17,509.342,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,509.442,511.614,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,511.938,514.398,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,520.066,531.614,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,531.746,535.07,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,535.17,536.638,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,536.738,537.438,segment_too_short,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,537.794,549.566,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,549.698,559.39,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,559.65,565.374,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,565.474,572.254,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,572.45,576.094,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,576.258,586.526,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,586.754,597.886,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,598.146,608.542,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,608.674,618.942,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,619.106,622.142,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,622.37,627.326,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,627.49,631.038,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,631.17,634.014,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,634.178,641.054,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,641.314,645.886,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,646.37,649.63,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,649.762,652.926,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,653.058,656.126,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,656.226,658.878,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,658.978,661.438,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,661.986,665.022,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,665.122,671.71,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,672.354,677.354,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,676.354,681.354,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,688.354,693.354,scene_cut_detected,,cutfix_smoke_tier2_20260729_01,tier2
-H3EY9_rfHQ (1),-H3EY9_rfHQ (1).mp4,692.354,697.354,face_density_low,,cutfix_smoke_tier2_20260729_01,tier2
