filename,video_id,status,accepted_count,rejected_count,decode_backend,decode_attempts,cut_backends,terminal_detail,run_id,tier
EKylCJjQo24.mp4,EKylCJjQo24,completed,109,166,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 109}",,cutfix_smoke_tier2_20260729_01,tier2
EQk4UHhtyao (1).mp4,EQk4UHhtyao (1),completed,52,156,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 52}",,cutfix_smoke_tier2_20260729_01,tier2
Eh_cHnsn3cw (1).mp4,Eh_cHnsn3cw (1),completed,36,3,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 36}",,cutfix_smoke_tier2_20260729_01,tier2
a42YZqAtARg.mp4,a42YZqAtARg,completed,166,38,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 166}",,cutfix_smoke_tier2_20260729_01,tier2
a4IvyO1z54c.mp4,a4IvyO1z54c,completed,19,53,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 19}",,cutfix_smoke_tier2_20260729_01,tier2
a9Vea4xOkpY.mp4,a9Vea4xOkpY,completed,101,17,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 101}",,cutfix_smoke_tier2_20260729_01,tier2
aVII2LD4Bgc.mp4,aVII2LD4Bgc,completed,49,75,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 49}",,cutfix_smoke_tier2_20260729_01,tier2
arM3VOfW3zI.mp4,arM3VOfW3zI,completed,56,142,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 56}",,cutfix_smoke_tier2_20260729_01,tier2
b9_oesdIz-M (1).mp4,b9_oesdIz-M (1),completed,90,108,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 90}",,cutfix_smoke_tier2_20260729_01,tier2
bH89A23gFQA.mp4,bH89A23gFQA,completed,67,41,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 67}",,cutfix_smoke_tier2_20260729_01,tier2
bX56cxaWu1s.mp4,bX56cxaWu1s,completed,18,130,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 18}",,cutfix_smoke_tier2_20260729_01,tier2
c7BNx09IkfE (1).mp4,c7BNx09IkfE (1),completed,96,147,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 96}",,cutfix_smoke_tier2_20260729_01,tier2
cKwkjbIVeRU.mp4,cKwkjbIVeRU,completed,73,135,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 73}",,cutfix_smoke_tier2_20260729_01,tier2
cRgc2Ma0B8c (1).mp4,cRgc2Ma0B8c (1),completed,39,161,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 39}",,cutfix_smoke_tier2_20260729_01,tier2
cV1ws0YHVTA.mp4,cV1ws0YHVTA,completed,104,202,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 104}",,cutfix_smoke_tier2_20260729_01,tier2
cVabKjWav-Y (1).mp4,cVabKjWav-Y (1),completed,65,118,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 65}",,cutfix_smoke_tier2_20260729_01,tier2
crJH7Etan0s (1).mp4,crJH7Etan0s (1),completed,60,168,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 60}",,cutfix_smoke_tier2_20260729_01,tier2
d9IehzN1aRo.mp4,d9IehzN1aRo,completed,128,89,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 128}",,cutfix_smoke_tier2_20260729_01,tier2
dEN94T0XGR0 (1).mp4,dEN94T0XGR0 (1),completed,4,109,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 4}",,cutfix_smoke_tier2_20260729_01,tier2
ddJxodTWtW4.mp4,ddJxodTWtW4,completed,124,192,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 124}",,cutfix_smoke_tier2_20260729_01,tier2
dm0xZrPBD_0.mp4,dm0xZrPBD_0,completed,134,247,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 134}",,cutfix_smoke_tier2_20260729_01,tier2
e44NSuPv_0c.mp4,e44NSuPv_0c,completed,79,238,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 79}",,cutfix_smoke_tier2_20260729_01,tier2
eBF1lyAeUUw.mp4,eBF1lyAeUUw,completed,78,78,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 78}",,cutfix_smoke_tier2_20260729_01,tier2
eWIdsUuw6Wg (1).mp4,eWIdsUuw6Wg (1),completed,30,203,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 30}",,cutfix_smoke_tier2_20260729_01,tier2
ebGQzj803hE.mp4,ebGQzj803hE,completed,105,58,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 105}",,cutfix_smoke_tier2_20260729_01,tier2
f84No5ImMIA.mp4,f84No5ImMIA,completed,14,214,cuda,"[{""backend"": ""cuda"", ""returncode"": 0, ""stderr"": """", ""valid"": true}]","{""nvenc"": 14}",,cutfix_smoke_tier2_20260729_01,tier2
