clip_id,source_video,start_time,end_time,duration,face_ratio,speech_ratio,snr,file_path,tier,has_cut_meta
-jDBwP6g2tA_clip0052_t00303,-jDBwP6g2tA,303.298,306.526,3.228,1.0,1.0,16.08,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0052_t00303.mp4,tier1,1
-jDBwP6g2tA_clip0053_t00306,-jDBwP6g2tA,306.722,314.046,7.324,0.875,1.0,15.72,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0053_t00306.mp4,tier1,1
-jDBwP6g2tA_clip0054_t00316,-jDBwP6g2tA,316.258,318.43,2.172,1.0,1.0,16.34,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0054_t00316.mp4,tier1,1
-jDBwP6g2tA_clip0055_t00334,-jDBwP6g2tA,334.114,337.854,3.74,1.0,1.0,13.11,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0055_t00334.mp4,tier1,1
-jDBwP6g2tA_clip0056_t00338,-jDBwP6g2tA,338.018,345.438,7.42,1.0,1.0,13.19,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0056_t00338.mp4,tier1,1
-jDBwP6g2tA_clip0057_t00345,-jDBwP6g2tA,345.602,348.926,3.324,1.0,1.0,13.49,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0057_t00345.mp4,tier1,1
-jDBwP6g2tA_clip0058_t00350,-jDBwP6g2tA,350.402,354.974,4.572,1.0,1.0,12.97,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0058_t00350.mp4,tier1,1
-jDBwP6g2tA_clip0059_t00355,-jDBwP6g2tA,355.298,357.406,2.108,1.0,1.0,12.09,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0059_t00355.mp4,tier1,1
-jDBwP6g2tA_clip0060_t00357,-jDBwP6g2tA,357.826,361.278,3.452,1.0,1.0,13.03,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0060_t00357.mp4,tier1,1
-jDBwP6g2tA_clip0061_t00361,-jDBwP6g2tA,361.41,364.35,2.94,1.0,1.0,12.73,E:\FPTU\PRJ\VN-AV-DF-Capstone\data\01_collect\cut_clips\tier1\0-100\tier1_v3_clips_0_100\-jDBwP6g2tA_clip0061_t00361.mp4,tier1,1
