video,start,end,reason
7467730343747980551,27.074,28.766,segment_too_short
7467730343747980551,29.89,30.974,segment_too_short
7467730343747980551,32.258,33.598,segment_too_short
7467730343747980551,34.274,35.07,segment_too_short
7467730343747980551,35.586,36.062,segment_too_short
7471611563737238791,,,video_decode_failed
7472618572993514770,0.002,1.15,segment_too_short
7472618572993514770,2.274,2.75,segment_too_short
7472041670041750802,,,video_decode_failed
7473038472329039111,,,video_decode_failed
7473002484370345223,0.61,1.086,segment_too_short
7472746059157097735,,,video_decode_failed
7473106792776535303,,,video_decode_failed
7474942302985719047,,,video_decode_failed
7474996849053601032,,,video_decode_failed
7475743245067390216,,,video_decode_failed
7476017843444698386,,,no_speech_detected
7476133252978314504,,,video_decode_failed
7477223506736876816,,,video_decode_failed
7476433253780425991,,,video_decode_failed
7477562710989868306,,,video_decode_failed
7473460849152249096,16.802,21.79,scene_cut_detected
7473460849152249096,27.074,28.424,segment_too_short
7479360346432490760,,,no_speech_detected
7470509227027516679,5.378,5.822,segment_too_short
7470509227027516679,6.338,7.166,segment_too_short
7470509227027516679,15.074,17.246,scene_cut_detected
7470509227027516679,19.01,19.486,segment_too_short
7470509227027516679,20.258,20.798,segment_too_short
7470509227027516679,20.962,21.63,segment_too_short
7470509227027516679,21.954,22.846,segment_too_short
7470509227027516679,22.978,25.47,scene_cut_detected
7470509227027516679,25.602,27.326,segment_too_short
7470509227027516679,27.714,28.894,segment_too_short
7470509227027516679,30.53,31.806,segment_too_short
7470509227027516679,37.89,38.686,segment_too_short
7470509227027516679,40.002,40.766,segment_too_short
7470509227027516679,41.058,44.638,scene_cut_detected
7470509227027516679,44.898,47.742,scene_cut_detected
7470509227027516679,48.13,48.99,segment_too_short
7470509227027516679,49.57,50.302,segment_too_short
7470509227027516679,51.458,54.014,scene_cut_detected
7470509227027516679,54.21,55.646,segment_too_short
7470509227027516679,56.098,57.79,segment_too_short
7470509227027516679,57.954,59.806,segment_too_short
7470509227027516679,62.882,63.422,segment_too_short
7470509227027516679,68.994,70.942,segment_too_short
7470509227027516679,71.042,72.99,segment_too_short
7470509227027516679,73.314,80.542,scene_cut_detected
7470509227027516679,81.506,83.614,scene_cut_detected
7470509227027516679,86.562,87.934,segment_too_short
7470509227027516679,88.546,89.182,segment_too_short
7470509227027516679,90.37,91.294,segment_too_short
7470509227027516679,91.554,93.15,segment_too_short
7470509227027516679,93.57,94.11,segment_too_short
